29/04/2023,15:00,Brighton,Wolves,D Coote
30/04/2023,14:00,Bournemouth,Leeds,C Kavanagh
30/04/2023,14:00,Fulham,Man City,S Hooper
30/04/2023,14:00,Man United,Aston Villa,J Gillett
30/04/2023,14:00,Newcastle,Southampton,A Taylor
30/04/2023,16:30,Liverpool,Tottenham,P Tierney
01/05/2023,20:00,Leicester,Everton,M Oliver
02/05/2023,20:00,Arsenal,Chelsea,R Jones
03/05/2023,20:00,Liverpool,Fulham,S Attwell
03/05/2023,20:00,Man City,West Ham,J Brooks
04/05/2023,20:00,Brighton,Man United,A Marriner
06/05/2023,15:00,Bournemouth,Chelsea,J Brooks
06/05/2023,15:00,Man City,Leeds,A Madley
06/05/2023,15:00,Tottenham,Crystal Palace,D Madley
06/05/2023,15:00,Wolves,Aston Villa,S Attwell
06/05/2023,17:30,Liverpool,Brentford,A Taylor
07/05/2023,16:30,Newcastle,Arsenal,C Kavanagh
07/05/2023,19:00,West Ham,Man United,P Bankes
08/05/2023,15:00,Fulham,Leicester,R Jones
08/05/2023,17:30,Brighton,Everton,S Hooper
08/05/2023,20:00,Nottm Forest,Southampton,M Oliver
13/05/2023,12:30,Leeds,Newcastle,S Hooper
13/05/2023,15:00,Aston Villa,Tottenham,P Bankes
13/05/2023,15:00,Chelsea,Nottm Forest,P Tierney
13/05/2023,15:00,Crystal Palace,Bournemouth,M Salisbury
13/05/2023,15:00,Man United,Wolves,J Brooks
13/05/2023,15:00,Southampton,Fulham,T Bramall
14/05/2023,14:00,Brentford,West Ham,M Oliver
14/05/2023,14:00,Everton,Man City,A Taylor
14/05/2023,16:30,Arsenal,Brighton,A Madley
15/05/2023,20:00,Leicester,Liverpool,C Pawson
18/05/2023,19:30,Newcastle,Brighton,R Jones
20/05/2023,12:30,Tottenham,Brentford,J Gillett
20/05/2023,15:00,Bournemouth,Man United,C Kavanagh
20/05/2023,15:00,Fulham,Crystal Palace,J Smith
20/05/2023,15:00,Liverpool,Aston Villa,J Brooks
20/05/2023,15:00,Wolves,Everton,D Coote
20/05/2023,17:30,Nottm Forest,Arsenal,A Taylor
21/05/2023,13:30,West Ham,Leeds,P Bankes
21/05/2023,14:00,Brighton,Southampton,P Tierney
21/05/2023,16:00,Man City,Chelsea,M Oliver
22/05/2023,20:00,Newcastle,Leicester,A Marriner
24/05/2023,20:00,Brighton,Man City,S Hooper
25/05/2023,20:00,Man United,Chelsea,S Attwell
28/05/2023,16:30,Arsenal,Wolves,A Marriner
28/05/2023,16:30,Aston Villa,Brighton,D Coote
28/05/2023,16:30,Brentford,Man City,J Brooks
28/05/2023,16:30,Chelsea,Newcastle,J Gillett
28/05/2023,16:30,Crystal Palace,Nottm Forest,J Bramall
28/05/2023,16:30,Everton,Bournemouth,S Attwell
28/05/2023,16:30,Leeds,Tottenham,A Taylor
28/05/2023,16:30,Leicester,West Ham,S Hooper
28/05/2023,16:30,Man United,Fulham,R Jones
28/05/2023,16:30,Southampton,Liverpool,D England
